BENEFÍCIOS,RAIZ RJ,PJ RAIZ,RAIZ SUL,RAIZ MG,PRO RAIZ,QI,SAP,SA PEREIRA,METROPOLITANO,CUBO GLOBAL,MATRIZ,IPE | GLOBAL TREE,BOM TEMPO,CLV,UNIFICADO,APOGEU,INTEGRA,SARAH DAWSEY,UNIÃO
PREVIDÊNCIA PRIVADA,GRUPO RAIZ PAGA APENAS 30 REAIS POR ADESÃO,,-,?,GRUPO RAIZ PAGA APENAS 30 REAIS POR ADESÃO,-,-,-,-,-,-,-,-,-,-,?,?,?,?
DESCONTO DE ESTUDOS PARA DEPENDENTES,ELEGIVEL DE ACORDO COM A POLITICA VIGENTE,,ELEGIVEL DE ACORDO COM A POLITICA VIGENTE,ELEGIVEL DE ACORDO COM A POLITICA VIGENTE,ELEGIVEL DE ACORDO COM A POLITICA VIGENTE,ELEGIVEL DE ACORDO COM A POLITICA VIGENTE,ELEGIVEL DE ACORDO COM A POLITICA VIGENTE,ELEGIVEL DE ACORDO COM A POLITICA VIGENTE,ELEGIVEL DE ACORDO COM A POLITICA VIGENTE,ELEGIVEL DE ACORDO COM A POLITICA VIGENTE,ELEGIVEL DE ACORDO COM A POLITICA VIGENTE,ELEGIVEL DE ACORDO COM A POLITICA VIGENTE,ELEGIVEL DE ACORDO COM A POLITICA VIGENTE,ELEGIVEL DE ACORDO COM A POLITICA VIGENTE,ELEGIVEL DE ACORDO COM A POLITICA VIGENTE,ELEGIVEL DE ACORDO COM A DIREÇÃO DA UNIDADE,ELEGIVEL DE ACORDO COM A DIREÇÃO DA UNIDADE,-,-
DAY OFF DE ANIVERSÁRIO,ELEGIVEL,,ELEGIVEL,ELEGIVEL,ELEGIVEL,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DESCONTO PARCERIA POR CONVÊNIO,ELEGIVEL,,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL
TOTAL PASS,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ESTACIONAMENTO,"100% - DIRETOR, GERENTE E COORDENADOR - R$ 150 DESCONTO EM FOLHA AOS DEMAIS CARGOS",,-,-,"100% - DIRETOR, GERENTE E COORDENADOR - R$ 150 DESCONTO EM FOLHA AOS DEMAIS CARGOS",-,-,-,-,-,-,-,-,-,-,-,-,-,-
BOLSA DE ESTUDOS,ELEGIVEL,,ELEGIVEL,ELEGIVEL,ELEGIVEL,?,?,?,?,?,?,?,?,ELEGIVEL,ELEGIVEL,-,-,-,-
"DESCONTO NA UNIVERSIDADE
ESTÁCIO DE SÁ",ELEGIVEL,,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL
"DESCONTO NA UNIVERSIDADE
VEIGA DE ALMEIDA",ELEGIVEL,,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL
"DESCONTO NA FUNDAÇÃO
GETULIO VARGAS",ELEGIVEL,,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL
"DESCONTO NA FACULDADE
IBMR",ELEGIVEL,,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL
"DESCONTO NA FACULDADE
PUC MINAS",ELEGIVEL,,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL
"DESCONTO NA FACULDADE
UNICESUMAR",ELEGIVEL,,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL
"DESCONTO NA FACULDADE
 UNI SÃO JOSÉ",ELEGIVEL,,,,,,,,,,,,,,,,,,
DESCONTO NA FACULDADE UNICARIOCA,ELEGIVEL,,,,,,,,,,,,,,,,,,
"DESCONTO NA ESCOLA
DE IDIOMAS BRASAS",ELEGIVEL,,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,ELEGIVEL,
OBS PLUXEE:,,,,,,,,,,,,,,,,,,,
"RAIZ EDUCAÇÃO (MOTORISTAS) - 24,22 POR DIA ",,,,,,,,,,,,,,,,,,,
"Cargos de confiança na Editora ex. consultores não recebem Pluxee. Esses recebem reembolso no valor de até 40,00 ao dia.
",,,,,,,,,,,,,,,,,,,
